,Orientation,Ventilation,Shading,Insulation Thickness,Window to Wall Ratio,Electricity:Facility,DistrictCooling:Facility,DistrictHeating:Facility,total (Q)
0,0,0.12,1.1821282457334732,0.05332241738098379,0.4040464727872177,5773034362.5,0.0,19006304635.889755,146.87562087954737
1,180,0.0,23.408441334502427,0.14694048060263798,0.31474150144119295,5773034362.5,60104.029917927706,15205506625.684488,124.34734682808009
2,0,0.0,28.66346993554298,0.3376876938947493,0.4255208309835825,5773034362.5,164098.24931759213,13730657727.296898,115.60602917417789
3,0,0.0,14.569645905867235,0.31263749727509044,0.3388324740019083,5773034362.5,0.0,13873236137.801125,116.45016753218383
4,90,0.0,7.594941400523948,0.37326119736086477,0.7478865729078626,5772408884.520455,781926.1101895364,13888357447.766096,116.540724031939
5,90,0.0,9.248333945580248,0.10119315860557995,0.5194566270270867,5772823844.267068,17200167.28834973,16165599901.794682,130.1384953924997
6,270,0.0,25.029138073082162,0.02443882975353439,0.689389434110418,5770368153.8599825,113375449.48006716,23408458731.91971,173.62490602352963
7,270,0.12,5.78091536316642,0.08016972171038252,0.7902382370366919,5769301724.530439,0.0,17713557391.612106,139.19094100671964
8,180,0.0,3.836381837843831,0.2146910071230948,0.5948253735296509,5773027676.841827,380551.4201416437,14579926136.156183,120.64117698769954
9,270,0.0,26.220924974638844,0.08735551346859337,0.30715266050297696,5772684557.0245905,5414458.908211162,17145449035.236912,135.87571294764896
10,0,0.12,6.276121702426978,0.019762084271917706,0.3318039123669718,5773034362.5,32872561.822704766,24280975692.83399,178.3352479665464
11,180,0.12,0.05018198254419505,0.03531881791785062,0.8167711517466153,5772986934.519873,14359268.182613906,20717509682.86343,157.10334988227063
12,90,0.0,2.341013244582749,0.31968631860130303,0.39586478974326056,5772921527.728031,0.0,13739557054.390793,115.65713705413243
13,90,0.12,0.4926157070115792,0.41853588764862504,0.41745881042805266,5772909076.580446,0.0,13463560608.617256,114.02113788134565
14,0,0.12,27.5316867724805,0.025324370117692674,0.4619405822631467,5773034362.5,31921598.5270533,22668848522.339207,168.77398192780794
15,90,0.0,8.388717927718552,0.4302219159473738,0.750276450139142,5772408884.520455,418803.4453987299,13751065869.72477,115.72479752015785
16,0,0.12,22.25645232779237,0.2792701376567587,0.5475600305158038,5773034362.5,0.0,14095933501.830986,117.77017100815428
17,90,0.0,25.56692579964294,0.1932914785443342,0.7705203284798332,5769568813.11231,35167917.78185488,14702396502.757097,121.55279551031843
18,270,0.12,26.096950790796672,0.20335370657137575,0.16989005021417902,5772940527.724443,0.0,14540670149.317198,120.40572110054173
19,90,0.0,1.9580232715535497,0.3646704468980683,0.8855455274092933,5772084648.728426,2765966.685353079,14048803183.614367,117.50157903819239
20,0,0.0,13.009183068776196,0.14166652996303736,0.2101043239315408,5773034362.5,300564.0784491275,15325403000.743807,125.05943895645028
21,0,0.12,26.474637837097834,0.14771211117373528,0.39700437481277817,5773034362.5,0.0,15253141426.91589,124.6293383368156
22,90,0.0,22.16317987013263,0.4869872591956832,0.7804982097432019,5769696180.849727,939212.581371166,13573823299.567024,114.6612256806967
23,270,0.12,8.008505777521307,0.18286511124310875,0.3722619469428058,5772524300.184256,0.0,14978188292.83689,122.99657371776857
24,90,0.0,3.2493271565377615,0.4058747371501713,0.6258836938477763,5772639163.995465,0.0,13691925402.22303,115.37313428736572
25,0,0.0,12.63523370901877,0.1266171036216492,0.6948409938551448,5773034362.5,11623811.48554383,16014102399.547344,129.20871270417257
26,270,0.0,24.072866942791318,0.37250574333143016,0.8985234711424208,5768473248.947063,5891614.0641263705,14168325962.495432,118.20715222449964
27,270,0.12,13.399548670023515,0.4479726146683665,0.7361885654972987,5769804923.967921,0.0,13912003999.537416,116.66081592653923
28,0,0.12,15.023084276977391,0.2861935259215369,0.7761700403440724,5773034362.5,0.0,14477136158.727297,120.02968958999445
29,90,0.12,14.364242144891943,0.3563610629317311,0.3547045302412488,5772900233.355721,0.0,13568326335.174353,114.64206777305294
